Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603,120.5,-71.02,90.0,top
C2,4.7uF,C_1206,118.5,-70.02,90.0,top
C3,100nF,C_0603,134.75,-71.39,180.0,top
D1,1SMA4749A,D_DO-214AC(SMA),114.0,-71.02,0.0,top
D2,Red,D_0603,113.871,-82.105,180.0,top
D3,Red,D_0603,117.371,-82.105,180.0,top
D4,Red,D_0603,120.871,-82.105,180.0,top
D5,Red,D_0603,124.371,-82.105,180.0,top
J1,Conn_02x08_Odd_Even_Male,PinHeader_2x08_P2.54mm_Horizontal,141.02,-66.89,90.0,top
J2,Conn_02x08_Odd_Even_Female,PinSocket_2x08_P2.54mm_Horizontal,107.48,-66.89,270.0,top
J3,Conn_01x05,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,119.121,-76.855,0.0,top
J4,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,132.54,-78.0,180.0,top
R1,10kΩ,R_0402,114.081,-80.605,180.0,top
R2,10kΩ,R_0402,117.581,-80.605,180.0,top
R3,10kΩ,R_0402,121.081,-80.605,180.0,top
R4,10kΩ,R_0402,124.581,-80.605,180.0,top
R5,10kΩ,R_0402,132.6,-71.69,-90.0,top
R6,10kΩ,R_0402,131.0,-71.0,180.0,top
U1,DRV8804PWP,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3mm_ThermalVias,124.125,-69.02,0.0,top
U2,SN74HCS165DYYR,DYY0016A-MFG,133.750001,-68.14,90.0,top
